Time[fs] MSD(O) MSD(Si) VAC(O) VAC(Si) Samples(O) Samples(Si) VAC_trunc(O) VAC_trunc(Si) Jt 
37.5 23.1033 20.4479 -0.00743417 -0.025273 3072 1536 -0.00618129 -0.0210137 0.0723555
37.75 23.1032 20.4481 -0.00543111 -0.022866 3072 1536 -0.00450392 -0.0189624 0.0587113
38 23.1031 20.4483 -0.0033968 -0.0203763 3072 1536 -0.00280943 -0.0168529 0.0446034
38.25 22.6072 19.9798 -0.0058022 -0.000920987 3072 1536 -0.00478604 -0.000759691 -0.0663516
38.5 22.6612 20.573 -0.0115112 0.000720269 3072 1536 -0.00946954 0.000592523 0.04707
38.75 22.6609 20.5732 -0.0109981 0.00188903 3072 1536 -0.00902286 0.00154976 0.0411709
39 22.6274 20.8228 -0.00469145 0.0175111 3072 1536 -0.00383831 0.0143267 -0.0332744
39.25 22.6271 20.8229 -0.00390238 0.0178531 3072 1536 -0.00318389 0.0145661 -0.0309445
39.5 22.6269 20.823 -0.00315612 0.0180312 3072 1536 -0.00256784 0.0146703 -0.0289408
39.75 22.6266 20.8232 -0.00246573 0.0180529 3072 1536 -0.00200049 0.0146467 -0.0272344
40 22.6264 20.8233 -0.00184296 0.017927 3072 1536 -0.00149099 0.0145033 -0.0257879
40.25 22.6263 20.8235 -0.00129836 0.0176627 3072 1536 -0.00104739 0.0142486 -0.0245531
40.5 22.6261 20.8237 -0.000841178 0.0172692 3072 1536 -0.000676623 0.0138909 -0.0234677
40.75 22.626 20.8238 -0.000479358 0.0167555 3072 1536 -0.000384463 0.0134386 -0.0224654
41 22.626 20.8241 -0.000219589 0.0161308 3072 1536 -0.000175602 0.0128995 -0.0214749
41.25 22.626 20.8243 -6.7335e-05 0.0154036 3072 1536 -5.36876e-05 0.0122816 -0.0204259
41.5 22.626 20.8246 -2.69149e-05 0.0145826 3072 1536 -2.13958e-05 0.0115924 -0.0192547
41.75 22.626 20.8248 -0.000101275 0.0136759 3072 1536 -8.02658e-05 0.0108389 -0.0179073
42 22.6261 20.8251 -0.000292053 0.0126915 3072 1536 -0.000230767 0.0100283 -0.0163408
42.25 22.6263 20.8254 -0.000599539 0.0116372 3072 1536 -0.000472282 0.00916709 -0.014527
42.5 22.6264 20.8257 -0.00102238 0.0105202 3072 1536 -0.00080289 0.00826168 -0.0124513
42.75 22.6266 20.826 -0.0015577 0.00934731 3072 1536 -0.00121949 0.00731782 -0.0101086
43 22.6269 20.8264 -0.00220082 0.00812483 3072 1536 -0.00171758 0.00634086 -0.00750548
43.25 23.4948 21.6063 -0.00823411 0.00595543 3072 1536 -0.00640589 0.00463314 -0.130711
43.5 24.2469 22.3772 -0.014719 0.000190907 3072 1536 -0.0114145 0.000148048 -0.225287
43.75 23.9546 22.1965 -0.0158027 -0.00755222 3072 1536 -0.0122156 -0.00583794 -0.0939105
44 23.9546 22.1968 -0.0169161 -0.00984478 3072 1536 -0.013034 -0.00758553 -0.12145
44.25 23.9547 22.1972 -0.0180802 -0.0121373 3072 1536 -0.0138857 -0.00932151 -0.148658
44.5 23.9549 22.1976 -0.0192793 -0.0144053 3072 1536 -0.014758 -0.011027 -0.175137
44.75 23.955 22.198 -0.0204965 -0.016624 3072 1536 -0.0156378 -0.0126833 -0.200496
45 23.9552 22.1985 -0.021714 -0.0187687 3072 1536 -0.0165115 -0.0142718 -0.224368
45.25 23.9554 22.1991 -0.0229137 -0.0208152 3072 1536 -0.0173651 -0.0157748 -0.246421
45.5 23.9556 22.1996 -0.0240777 -0.0227394 3072 1536 -0.0181854 -0.0171747 -0.266359
45.75 23.9558 22.2003 -0.0251887 -0.0245186 3072 1536 -0.0189596 -0.0184552 -0.28393
46 23.956 22.2009 -0.0262304 -0.0261315 3072 1536 -0.0196757 -0.0196015 -0.298933
46.25 23.9563 22.2016 -0.0271879 -0.0275588 3072 1536 -0.0203232 -0.0206004 -0.311217
46.5 23.9565 22.2023 -0.0280478 -0.028784 3072 1536 -0.0208926 -0.021441 -0.320681
46.75 23.9568 22.2031 -0.0287987 -0.0297934 3072 1536 -0.0213763 -0.0221147 -0.327275
47 23.957 22.2038 -0.029431 -0.0305767 3072 1536 -0.0217681 -0.0226155 -0.330991
47.25 23.9572 22.2046 -0.0299374 -0.0311268 3072 1536 -0.0220633 -0.0229399 -0.331865
47.5 23.9575 22.2054 -0.0303124 -0.03144 3072 1536 -0.0222591 -0.0230871 -0.329966
47.75 23.9577 22.2062 -0.0305526 -0.031516 3072 1536 -0.0223539 -0.0230588 -0.325401
48 23.9579 22.2071 -0.0306565 -0.031358 3072 1536 -0.0223476 -0.022859 -0.318298
48.25 24.445 22.4062 -0.0240043 -0.0105782 3072 1536 -0.0174337 -0.00768266 -0.252358
48.5 23.8593 22.4036 -0.0235644 -0.012398 3072 1536 -0.0170505 -0.00897079 -0.293683
48.75 23.8594 22.4044 -0.0229635 -0.0136599 3072 1536 -0.0165533 -0.0098468 -0.283543
49 23.8176 22.2207 -0.0144658 -0.00567605 3072 1536 -0.0103883 -0.00407612 -0.207669
49.25 23.8177 22.221 -0.0147608 -0.00717076 3072 1536 -0.0105597 -0.00512988 -0.199794
49.5 23.8178 22.2214 -0.0149865 -0.00855166 3072 1536 -0.0106799 -0.00609425 -0.19034
49.75 23.8179 22.2217 -0.0151447 -0.00980345 3072 1536 -0.0107509 -0.00695925 -0.179547
50 23.8181 22.2221 -0.0152389 -0.0109154 3072 1536 -0.0107755 -0.00771833 -0.16767
50.25 23.8182 22.2225 -0.0152739 -0.0118818 3072 1536 -0.0107578 -0.00836865 -0.154959
50.5 23.8183 22.2229 -0.0152557 -0.0127025 3072 1536 -0.0107024 -0.00891119 -0.141658
50.75 23.8185 22.2232 -0.0151908 -0.0133825 3072 1536 -0.0106142 -0.00935074 -0.127983
51 23.8186 22.2236 -0.0150857 -0.0139327 3072 1536 -0.0104983 -0.00969598 -0.114127
51.25 23.8188 22.224 -0.0149469 -0.0143686 3072 1536 -0.0103595 -0.00995869 -0.100242
51.5 23.819 22.2244 -0.0147803 -0.0147102 3072 1536 -0.0102021 -0.0101537 -0.0864484
51.75 23.8191 22.2248 -0.014591 -0.0149811 3072 1536 -0.0100299 -0.0102981 -0.0728283
52 23.8193 22.2252 -0.0143829 -0.0152079 3072 1536 -0.00984576 -0.0104105 -0.0594414
52.25 23.8195 22.2255 -0.014159 -0.015419 3072 1536 -0.00965191 -0.0105108 -0.0463292
52.5 23.8197 22.2259 -0.0139215 -0.0156432 3072 1536 -0.00944996 -0.0106186 -0.0335263
52.75 23.8199 22.2262 -0.0136719 -0.0159093 3072 1536 -0.00924098 -0.0107533 -0.0210663
