Time[fs] MSD(Mn) MSD(O) MSD(Y) VAC(Mn) VAC(O) VAC(Y) Samples(Mn) Samples(O) Samples(Y) VAC_trunc(Mn) VAC_trunc(O) VAC_trunc(Y) Jt 
159 0.00276699 0.00299146 0.00316406 0.0196804 0.0389663 0.0801278 7704 7704 23112 0.0195739 0.0387555 0.0796943 0.148558
160.5 0.00276397 0.00298472 0.00316244 0.0212967 0.0407265 0.0807576 7704 7704 23112 0.0211793 0.040502 0.0803124 0.143132
162 0.00276112 0.00297812 0.003163 0.023307 0.0428404 0.0790996 7704 7704 23112 0.0231762 0.0425998 0.0786554 0.136664
163.5 0.00275863 0.0029716 0.0031651 0.0252439 0.0455636 0.0752617 7704 7704 23112 0.0250995 0.045303 0.0748312 0.131688
165 0.00275609 0.00296583 0.00316894 0.0264833 0.0489016 0.0702567 7704 7704 23112 0.026329 0.0486167 0.0698474 0.118305
166.5 0.00275359 0.00296012 0.00317455 0.0283251 0.0503345 0.0634727 7704 7704 23112 0.028157 0.050036 0.0630962 0.102584
168 0.00275123 0.00295457 0.00318212 0.0284413 0.0484337 0.0558058 7704 7704 23112 0.0282696 0.0481412 0.0554688 0.0878467
169.5 0.00274899 0.00294947 0.00319105 0.028002 0.0476905 0.0482162 7704 7704 23112 0.0278299 0.0473973 0.0479198 0.071707
171 0.00274688 0.00294463 0.0032011 0.0274924 0.0470165 0.0391339 7704 7704 23112 0.0273204 0.0467223 0.0388891 0.0537008
172.5 0.00274482 0.00294005 0.0032121 0.0275226 0.0457762 0.0288251 7704 7704 23112 0.0273474 0.0454847 0.0286416 0.0281406
174 0.00274296 0.00293564 0.0032234 0.0280836 0.0441537 0.0175267 7704 7704 23112 0.0279017 0.0438677 0.0174132 0.000194787
175.5 0.00274101 0.00293186 0.00323519 0.0264956 0.0410787 0.00609624 7704 7704 23112 0.026321 0.040808 0.00605607 -0.0207977
177 0.00273918 0.00292813 0.00324728 0.0260969 0.0395833 -0.00441205 7704 7704 23112 0.025922 0.039318 -0.00438247 -0.0400623
178.5 0.00273784 0.00292453 0.00325875 0.0279511 0.0383398 -0.0153089 7704 7704 23112 0.0277606 0.0380785 -0.0152045 -0.0617573
180 0.00273647 0.00292164 0.00326953 0.0303703 0.0363403 -0.0255368 7704 7704 23112 0.0301598 0.0360884 -0.0253598 -0.0795191
181.5 0.00273524 0.00291892 0.00327985 0.0315137 0.0350167 -0.0335039 7704 7704 23112 0.0312917 0.0347699 -0.0332678 -0.0982542
