Freq(meV) DoS(Mn) DoS(O) DoS(Y) DoS(Total) JDoS
37 16.4589 18.3833 15.5868 31.1699 5.55507
37.1 16.244 18.5341 15.6817 31.2541 6.06614
37.2 15.9752 18.6586 15.7425 31.2687 6.54751
37.3 15.6533 18.7428 15.7705 31.21 6.98098
37.4 15.2833 18.776 15.7696 31.0803 7.35235
37.5 14.8741 18.7517 15.7457 30.8874 7.65257
37.6 14.4377 18.6678 15.7072 30.6445 7.87842
37.7 13.9876 18.527 15.6645 30.3698 8.03282
37.8 13.5382 18.3366 15.6292 30.0851 8.12461
37.9 13.1035 18.1073 15.6139 29.8138 8.16782
38 12.6962 17.8524 15.6305 29.5799 8.18062
38.1 12.3269 17.5868 15.6896 29.4051 8.18379
38.2 12.0037 17.3253 15.7998 29.3081 8.19905
38.3 11.7319 17.0816 15.9663 29.302 8.24726
38.4 11.5144 16.8668 16.1909 29.3943 8.34662
38.5 11.3514 16.6891 16.4712 29.5853 8.51118
38.6 11.2411 16.5522 16.8012 29.869 8.7495
38.7 11.1805 16.4561 17.1711 30.2331 9.0639
38.8 11.1654 16.3965 17.5685 30.6599 9.45001
38.9 11.191 16.3657 17.979 31.1283 9.89704
39 11.2523 16.353 18.3876 31.6151 10.3884
39.1 11.3443 16.346 18.7795 32.0966 10.9029
39.2 11.4619 16.3315 19.1416 32.5509 11.416
39.3 11.6002 16.2968 19.4631 32.9589 11.9021
39.4 11.7538 16.2306 19.7366 33.3057 12.3358
39.5 11.9171 16.1243 19.9583 33.5815 12.6941
39.6 12.084 15.9719 20.128 33.7816 12.958
39.7 12.2479 15.7712 20.2492 33.9064 13.1139
39.8 12.4016 15.5236 20.3283 33.9611 13.1543
39.9 12.5374 15.2339 20.3737 33.9544 13.0786
40 12.648 14.9098 20.3953 33.8976 12.893
40.1 12.7262 14.5615 20.4032 33.8035 12.6099
40.2 12.7662 14.2008 20.4068 33.6851 12.2467
40.3 12.7635 13.8402 20.4141 33.5547 11.825
40.4 12.7159 13.4921 20.4314 33.4234 11.3683
40.5 12.6236 13.168 20.4624 33.2999 10.9007
40.6 12.4898 12.8779 20.5088 33.1911 10.4449
40.7 12.3203 12.6297 20.57 33.1017 10.0204
40.8 12.1236 12.4291 20.6442 33.0349 9.64263
40.9 11.9101 12.2791 20.7282 32.9924 9.32125
41 11.6916 12.1804 20.8191 32.9753 9.05998
